lr-AdamW,step,val_loss_clf,val_acc,val_loss_total,epoch,train_loss_clf,train_acc,train_loss_total
,2783,,,,95,0.14077574014663696,0.9529094696044922,0.14077574014663696
0.0007302159872511901,2784,,,,,,,
,2812,0.35461878776550293,0.9194257855415344,0.35461878776550293,96,,,
,2812,,,,96,0.12931762635707855,0.9579741358757019,0.12931762635707855
0.0007392669714439297,2813,,,,,,,
,2841,0.3393497169017792,0.909277617931366,0.3393497169017792,97,,,
,2841,,,,97,0.13393434882164001,0.9551724195480347,0.13393434882164001
0.0007482204826356218,2842,,,,,,,
,2870,0.3705413043498993,0.906171977519989,0.3705413043498993,98,,,
,2870,,,,98,0.12374281883239746,0.9602370858192444,0.12374281883239746
0.0007570725406298865,2871,,,,,,,
,2899,0.29628986120224,0.935785174369812,0.29628986120224,99,,,
,2899,,,,99,0.10856849700212479,0.9635775685310364,0.10856849700212479
0.0007658192103303784,2900,,,,,,,
,2928,0.3020753562450409,0.9194257855415344,0.3020753562450409,100,,,
,2928,,,,100,0.11721401661634445,0.960991382598877,0.11721401661634445
0.0007744566034900929,2929,,,,,,,
,2957,0.28118568658828735,0.9270797967910767,0.28118568658828735,101,,,
,2957,,,,101,0.12636403739452362,0.9604525566101074,0.12636403739452362
0.0007829808804398497,2958,,,,,,,
,2986,0.30092573165893555,0.9171516299247742,0.30092573165893555,102,,,
,2986,,,,102,0.12208100408315659,0.9600215554237366,0.12208100408315659
0.0007913882517951803,2987,,,,,,,
,3015,0.32573655247688293,0.9146574139595032,0.32573655247688293,103,,,
,3015,,,,103,0.11820506304502487,0.9604525566101074,0.11820506304502487
0.0007996749801408617,3016,,,,,,,
,3044,0.2662588953971863,0.9374480247497559,0.2662588953971863,104,,,
,3044,,,,104,0.11016981303691864,0.9645473957061768,0.11016981303691864
0.000807837381692349,3045,,,,,,,
,3073,0.3081311583518982,0.9326795339584351,0.3081311583518982,105,,,
,3073,,,,105,0.11207195371389389,0.9634698033332825,0.11207195371389389
0.0008158718279333644,3074,,,,,,,
,3102,0.4074094891548157,0.9138259887695312,0.4074094891548157,106,,,
,3102,,,,106,0.10417616367340088,0.9664870500564575,0.10417616367340088
0.00082377474722892,3103,,,,,,,
,3131,0.33505335450172424,0.9217000007629395,0.33505335450172424,107,,,
,3131,,,,107,0.11093079298734665,0.962607741355896,0.11093079298734665
0.0008315426264130536,3132,,,,,,,
,3160,0.3402770161628723,0.935785174369812,0.3402770161628723,108,,,
,3160,,,,108,0.11801565438508987,0.9616379141807556,0.11801565438508987
0.0008391720123505719,3161,,,,,,,
,3189,0.34292173385620117,0.9148775339126587,0.34292173385620117,109,,,
,3189,,,,109,0.1037885770201683,0.9665948152542114,0.1037885770201683
0.0008466595134721078,3190,,,,,,,
,3218,0.30011993646621704,0.9326795339584351,0.30011993646621704,110,,,
,3218,,,,110,0.11555350571870804,0.9616379141807556,0.11555350571870804
0.0008540018012818105,3219,,,,,,,
,3247,0.334075391292572,0.9295740127563477,0.334075391292572,111,,,
,3247,,,,111,0.09451133012771606,0.9686422348022461,0.09451133012771606
0.0008611956118369959,3248,,,,,,,
,3276,0.2734329402446747,0.9492591023445129,0.2734329402446747,112,,,
,3276,,,,112,0.10033180564641953,0.9677801728248596,0.10033180564641953
0.0008682377471990999,3277,,,,,,,
,3305,0.3151549696922302,0.9132146835327148,0.3151549696922302,113,,,
,3305,,,,113,0.10181312263011932,0.967025876045227,0.10181312263011932
0.0008751250768552915,3306,,,,,,,
,3334,0.4172857403755188,0.8997408151626587,0.4172857403755188,114,,,
,3334,,,,114,0.10347308218479156,0.9658405184745789,0.10347308218479156
0.0008818545391101115,3335,,,,,,,
,3363,0.4111923277378082,0.9256370663642883,0.4111923277378082,115,,,
,3363,,,,115,0.09797879308462143,0.9682112336158752,0.09797879308462143
0.00088842314244652,3364,,,,,,,
,3392,0.3678745627403259,0.9171516299247742,0.3678745627403259,116,,,
,3392,,,,116,0.09447725862264633,0.9696120619773865,0.09447725862264633
0.0008948279668557453,3393,,,,,,,
,3421,0.3795962929725647,0.9405535459518433,0.3795962929725647,117,,,
,3421,,,,117,0.09366501122713089,0.9697198271751404,0.09366501122713089
0.0009010661651353465,3422,,,,,,,
