lr-AdamW,step,train_loss_clf,train_acc,train_loss_total,epoch,val_loss_clf,val_acc,val_loss_total
,751,0.7055090069770813,0.73046875,0.7055090069770813,46,,,
,751,,,,46,0.6143747568130493,0.7838461399078369,0.6143747568130493
0.0007538429651011822,752,,,,,,,
,767,0.7457162141799927,0.7109375,0.7457162141799927,47,,,
,767,,,,47,0.5392324328422546,0.8176922798156738,0.5392324328422546
0.0007721561153028634,768,,,,,,,
,783,0.6514512896537781,0.7509765625,0.6514512896537781,48,,,
,783,,,,48,0.5212874412536621,0.8676923513412476,0.5212874412536621
0.0007899756580675747,784,,,,,,,
,799,0.6447195410728455,0.76416015625,0.6447195410728455,49,,,
,799,,,,49,0.49670088291168213,0.8238461017608643,0.49670088291168213
0.0008072667108035476,800,,,,,,,
,815,0.602780818939209,0.77734375,0.602780818939209,50,,,
,815,,,,50,0.5297840237617493,0.8646153807640076,0.5297840237617493
0.0008239954254630627,816,,,,,,,
,831,0.5626440048217773,0.80322265625,0.5626440048217773,51,,,
,831,,,,51,0.4536157250404358,0.8799999952316284,0.4536157250404358
0.0008401290548015924,832,,,,,,,
,847,0.5649119019508362,0.79345703125,0.5649119019508362,52,,,
,847,,,,52,0.4067632257938385,0.8892307877540588,0.4067632257938385
0.0008556360164820708,848,,,,,,,
,863,0.5034651160240173,0.82275390625,0.5034651160240173,53,,,
,863,,,,53,0.4336192011833191,0.8830769062042236,0.4336192011833191
0.0008704859548988004,864,,,,,,,
,879,0.5480157732963562,0.80126953125,0.5480157732963562,54,,,
,879,,,,54,0.37319839000701904,0.8769230842590332,0.37319839000701904
0.0008846498005999767,880,,,,,,,
,895,0.529763400554657,0.81103515625,0.529763400554657,55,,,
,895,,,,55,0.4618670642375946,0.8646153807640076,0.4618670642375946
0.0008980998271925047,896,,,,,,,
,911,0.5174827575683594,0.82666015625,0.5174827575683594,56,,,
,911,,,,56,0.419301301240921,0.8676923513412476,0.419301301240921
0.0009108097056177156,912,,,,,,,
,927,0.446727454662323,0.84716796875,0.446727454662323,57,,,
,927,,,,57,0.37828463315963745,0.895384669303894,0.37828463315963745
0.0009227545556917353,928,,,,,,,
,943,0.4249991476535797,0.85400390625,0.4249991476535797,58,,,
,943,,,,58,0.37022238969802856,0.895384669303894,0.37022238969802856
0.0009339109948096134,944,,,,,,,
,959,0.4733660817146301,0.8310546875,0.4733660817146301,59,,,
,959,,,,59,0.4176284670829773,0.8492308259010315,0.4176284670829773
0.0009442571837178694,960,,,,,,,
,975,0.4287077784538269,0.85302734375,0.4287077784538269,60,,,
,975,,,,60,0.32517775893211365,0.9200000166893005,0.32517775893211365
0.0009537728692658578,976,,,,,,,
,991,0.4172663688659668,0.8583984375,0.4172663688659668,61,,,
,991,,,,61,0.31858426332473755,0.8923077583312988,0.31858426332473755
0.0009624394240522616,992,,,,,,,
,1007,0.4090772569179535,0.85888671875,0.4090772569179535,62,,,
,1007,,,,62,0.3649095296859741,0.9230769276618958,0.3649095296859741
0.0009702398828891044,1008,,,,,,,
,1023,0.43090957403182983,0.8603515625,0.43090957403182983,63,,,
,1023,,,,63,0.2469000220298767,0.9200000166893005,0.2469000220298767
0.0009771589760119031,1024,,,,,,,
,1039,0.40294361114501953,0.85986328125,0.40294361114501953,64,,,
,1039,,,,64,0.28471043705940247,0.9107692241668701,0.28471043705940247
0.0009831831589709487,1040,,,,,,,
,1055,0.3758656084537506,0.873046875,0.3758656084537506,65,,,
,1055,,,,65,0.32169440388679504,0.870769202709198,0.32169440388679504
0.0009883006391452032,1056,,,,,,,
,1071,0.37825697660446167,0.8740234375,0.37825697660446167,66,,,
,1071,,,,66,0.3506622016429901,0.8830769062042236,0.3506622016429901
0.0009925013988269084,1072,,,,,,,
,1087,0.3797149062156677,0.85986328125,0.3797149062156677,67,,,
,1087,,,,67,0.2989809513092041,0.8892307877540588,0.2989809513092041
0.000995777214831719,1088,,,,,,,
,1103,0.3676925599575043,0.8642578125,0.3676925599575043,68,,,
,1103,,,,68,0.2987649440765381,0.8923076391220093,0.2987649440765381
0.0009981216745959735,1104,,,,,,,
,1119,0.3393162786960602,0.875,0.3393162786960602,69,,,
,1119,,,,69,0.24684394896030426,0.9230769276618958,0.24684394896030426
0.0009995301887295873,1120,,,,,,,
,1135,0.3469034731388092,0.8759765625,0.3469034731388092,70,,,
,1135,,,,70,0.292216420173645,0.9138461351394653,0.292216420173645
0.001,1136,,,,,,,
,1151,0.31844502687454224,0.8955078125,0.31844502687454224,71,,,
,1151,,,,71,0.25979164242744446,0.9138461351394653,0.25979164242744446
0.0009999125808060514,1152,,,,,,,
,1167,0.3180108666419983,0.89453125,0.3180108666419983,72,,,
,1167,,,,72,0.24817198514938354,0.9169230461120605,0.24817198514938354
0.0009996503537927897,1168,,,,,,,
,1183,0.3387698531150818,0.87353515625,0.3387698531150818,73,,,
,1183,,,,73,0.25293558835983276,0.929230809211731,0.25293558835983276
0.0009992134106552783,1184,,,,,,,
,1199,0.32679110765457153,0.890625,0.32679110765457153,74,,,
,1199,,,,74,0.22421032190322876,0.9323076605796814,0.22421032190322876
0.0009986019041829956,1200,,,,,,,
,1215,0.3135703206062317,0.888671875,0.3135703206062317,75,,,
,1215,,,,75,0.25017040967941284,0.9230769276618958,0.25017040967941284
0.000997816048206409,1216,,,,,,,
,1231,0.26446932554244995,0.90380859375,0.26446932554244995,76,,,
,1231,,,,76,0.24627013504505157,0.9169230461120605,0.24627013504505157
0.0009968561175222016,1232,,,,,,,
,1247,0.27056223154067993,0.91015625,0.27056223154067993,77,,,
,1247,,,,77,0.1951722502708435,0.9200000166893005,0.1951722502708435
0.0009957224477971825,1248,,,,,,,
,1263,0.2829868793487549,0.90283203125,0.2829868793487549,78,,,
,1263,,,,78,0.22885334491729736,0.9230769276618958,0.22885334491729736
0.0009944154354509117,1264,,,,,,,
,1279,0.2914419174194336,0.90234375,0.2914419174194336,79,,,
,1279,,,,79,0.1860211044549942,0.9446153044700623,0.1860211044549942
0.0009929355375170809,1280,,,,,,,
,1295,0.278226763010025,0.90234375,0.278226763010025,80,,,
,1295,,,,80,0.187970370054245,0.9415384531021118,0.187970370054245
0.0009912832714836976,1296,,,,,,,
,1311,0.28626328706741333,0.89990234375,0.28626328706741333,81,,,
,1311,,,,81,0.18103212118148804,0.9507691860198975,0.18103212118148804
0.0009894592151121324,1312,,,,,,,
,1327,0.2899503707885742,0.89697265625,0.2899503707885742,82,,,
,1327,,,,82,0.3045640289783478,0.8984615206718445,0.3045640289783478
0.0009874640062350875,1328,,,,,,,
,1343,0.2667015492916107,0.9033203125,0.2667015492916107,83,,,
,1343,,,,83,0.2179274559020996,0.9353845715522766,0.2179274559020996
0.0009852983425335607,1344,,,,,,,
,1359,0.24360322952270508,0.919921875,0.24360322952270508,84,,,
,1359,,,,84,0.27933964133262634,0.929230809211731,0.27933964133262634
0.0009829629812928816,1360,,,,,,,
,1375,0.2460278570652008,0.90185546875,0.2460278570652008,85,,,
,1375,,,,85,0.2439190149307251,0.9353845715522766,0.2439190149307251
0.000980458739137906,1376,,,,,,,
,1391,0.22002124786376953,0.91845703125,0.22002124786376953,86,,,
,1391,,,,86,0.2506954073905945,0.9230769276618958,0.2506954073905945
0.0009777864917474587,1392,,,,,,,
,1407,0.23183950781822205,0.9248046875,0.23183950781822205,87,,,
,1407,,,,87,0.17075516283512115,0.947692334651947,0.17075516283512115
0.0009749471735481295,1408,,,,,,,
,1423,0.2469296008348465,0.912109375,0.2469296008348465,88,,,
,1423,,,,88,0.24170731008052826,0.9200000166893005,0.24170731008052826
0.0009719417773875231,1424,,,,,,,
,1439,0.22866606712341309,0.91943359375,0.22866606712341309,89,,,
,1439,,,,89,0.22974571585655212,0.9138461351394653,0.22974571585655212
0.0009687713541870824,1440,,,,,,,
,1455,0.2534700930118561,0.91064453125,0.2534700930118561,90,,,
,1455,,,,90,0.2519089877605438,0.9107692241668701,0.2519089877605438
0.0009654370125746047,1456,,,,,,,
,1471,0.23933735489845276,0.91357421875,0.23933735489845276,91,,,
,1471,,,,91,0.22546139359474182,0.9200000166893005,0.22546139359474182
0.0009619399184965783,1472,,,,,,,
,1487,0.21592099964618683,0.92138671875,0.21592099964618683,92,,,
,1487,,,,92,0.24249009788036346,0.8453845977783203,0.24249009788036346
0.0009582812948104762,1488,,,,,,,
,1503,0.2512153089046478,0.9111328125,0.2512153089046478,93,,,
,1503,,,,93,0.1781700700521469,0.941538393497467,0.1781700700521469
0.0009544624208571506,1504,,,,,,,
,1519,0.20571787655353546,0.92724609375,0.20571787655353546,94,,,
,1519,,,,94,0.25872260332107544,0.8769230842590332,0.25872260332107544
0.0009504846320134736,1520,,,,,,,
,1535,0.202300027012825,0.92626953125,0.202300027012825,95,,,
,1535,,,,95,0.15740710496902466,0.9476922750473022,0.15740710496902466
0.0009463493192253872,1536,,,,,,,
,1551,0.21190407872200012,0.93359375,0.21190407872200012,96,,,
,1551,,,,96,0.21014606952667236,0.9015385508537292,0.21014606952667236
0.0009420579285215178,1552,,,,,,,
,1567,0.21903662383556366,0.92041015625,0.21903662383556366,97,,,
,1567,,,,97,0.1756032407283783,0.9476922750473022,0.1756032407283783
0.000937611960507533,1568,,,,,,,
,1583,0.21161484718322754,0.91943359375,0.21161484718322754,98,,,
,1583,,,,98,0.2213732898235321,0.9107692241668701,0.2213732898235321
0.0009330129698414117,1584,,,,,,,
,1599,0.18857474625110626,0.93359375,0.18857474625110626,99,,,
,1599,,,,99,0.16396375000476837,0.9538462162017822,0.16396375000476837
0.0009282625646898148,1600,,,,,,,
,1615,0.22319531440734863,0.919921875,0.22319531440734863,100,,,
,1615,,,,100,0.19995684921741486,0.9353846907615662,0.19995684921741486
0.0009233624061657436,1616,,,,,,,
,1631,0.21210496127605438,0.919921875,0.21210496127605438,101,,,
,1631,,,,101,0.1999933421611786,0.9384615421295166,0.1999933421611786
0.0009183142077476857,1632,,,,,,,
,1647,0.20275349915027618,0.93310546875,0.20275349915027618,102,,,
,1647,,,,102,0.23645783960819244,0.9138461351394653,0.23645783960819244
0.0009131197346804487,1648,,,,,,,
,1663,0.1730969399213791,0.93505859375,0.1730969399213791,103,,,
,1663,,,,103,0.23044387996196747,0.8984615206718445,0.23044387996196747
0.0009077808033578921,1664,,,,,,,
,1679,0.16987547278404236,0.93994140625,0.16987547278404236,104,,,
,1679,,,,104,0.15219025313854218,0.9569230675697327,0.15219025313854218
0.0009022992806877745,1680,,,,,,,
,1695,0.1722397804260254,0.9384765625,0.1722397804260254,105,,,
,1695,,,,105,0.197898268699646,0.9384616017341614,0.197898268699646
0.0008966770834389369,1696,,,,,,,
,1711,0.16920840740203857,0.9462890625,0.16920840740203857,106,,,
,1711,,,,106,0.17289726436138153,0.9476922750473022,0.17289726436138153
0.0008909161775710499,1712,,,,,,,
,1727,0.1539512723684311,0.94580078125,0.1539512723684311,107,,,
,1727,,,,107,0.10682977735996246,0.9599999785423279,0.10682977735996246
0.0008850185775471609,1728,,,,,,,
,1743,0.17860764265060425,0.93896484375,0.17860764265060425,108,,,
,1743,,,,108,0.14924268424510956,0.9507691860198975,0.14924268424510956
0.0008789863456292802,1744,,,,,,,
,1759,0.17824360728263855,0.93505859375,0.17824360728263855,109,,,
,1759,,,,109,0.16339071094989777,0.9415384531021118,0.16339071094989777
0.0008728215911572529,1760,,,,,,,
,1775,0.19284911453723907,0.93115234375,0.19284911453723907,110,,,
,1775,,,,110,0.1648528128862381,0.9507691860198975,0.1648528128862381
0.0008665264698111694,1776,,,,,,,
,1791,0.13840192556381226,0.94482421875,0.13840192556381226,111,,,
,1791,,,,111,0.17453600466251373,0.9353846907615662,0.17453600466251373
0.0008601031828575701,1792,,,,,,,
,1807,0.16577675938606262,0.94091796875,0.16577675938606262,112,,,
,1807,,,,112,0.14777101576328278,0.9476922750473022,0.14777101576328278
0.0008535539763797113,1808,,,,,,,
,1823,0.14248786866664886,0.95068359375,0.14248786866664886,113,,,
,1823,,,,113,0.15832872688770294,0.9384615421295166,0.15832872688770294
0.0008468811404921587,1824,,,,,,,
,1839,0.1794116199016571,0.935546875,0.1794116199016571,114,,,
,1839,,,,114,0.15227898955345154,0.9353845715522766,0.15227898955345154
0.000840087008539984,1840,,,,,,,
,1855,0.16598454117774963,0.9384765625,0.16598454117774963,115,,,
,1855,,,,115,0.19756676256656647,0.9353846907615662,0.19756676256656647
0.000833173956282846,1856,,,,,,,
,1871,0.16501137614250183,0.94287109375,0.16501137614250183,116,,,
,1871,,,,116,0.12049154192209244,0.9569230675697327,0.12049154192209244
0.0008261444010642379,1872,,,,,,,
,1887,0.14349457621574402,0.95458984375,0.14349457621574402,117,,,
,1887,,,,117,0.13061803579330444,0.9599999785423279,0.13061803579330444
0.0008190008009661964,1888,,,,,,,
,1903,0.15257135033607483,0.9521484375,0.15257135033607483,118,,,
,1903,,,,118,0.16684401035308838,0.9599999785423279,0.16684401035308838
0.000811745653949763,1904,,,,,,,
,1919,0.13774028420448303,0.95166015625,0.13774028420448303,119,,,
,1919,,,,119,0.15488162636756897,0.9538462162017822,0.15488162636756897
0.0008043814969815022,1920,,,,,,,
,1935,0.138837531208992,0.95361328125,0.138837531208992,120,,,
,1935,,,,120,0.25901874899864197,0.9353845715522766,0.25901874899864197
0.0007969109051463795,1936,,,,,,,
,1951,0.1495380699634552,0.94384765625,0.1495380699634552,121,,,
,1951,,,,121,0.09882389008998871,0.9599999785423279,0.09882389008998871
0.0007893364907473105,1952,,,,,,,
,1967,0.15320993959903717,0.94384765625,0.15320993959903717,122,,,
,1967,,,,122,0.17282181978225708,0.9569230675697327,0.17282181978225708
0.0007816609023916948,1968,,,,,,,
,1983,0.1532362848520279,0.9443359375,0.1532362848520279,123,,,
,1983,,,,123,0.15896828472614288,0.9507691860198975,0.15896828472614288
0.0007738868240652572,1984,,,,,,,
,1999,0.14811208844184875,0.95263671875,0.14811208844184875,124,,,
,1999,,,,124,0.12796002626419067,0.9661538600921631,0.12796002626419067
0.0007660169741935151,2000,,,,,,,
,2015,0.14528629183769226,0.9462890625,0.14528629183769226,125,,,
,2015,,,,125,0.1424640268087387,0.9538461565971375,0.1424640268087387
0.0007580541046912057,2016,,,,,,,
,2031,0.15185463428497314,0.94677734375,0.15185463428497314,126,,,
,2031,,,,126,0.08929159492254257,0.9723077416419983,0.08929159492254257
0.0007500009999999999,2032,,,,,,,
,2047,0.13480260968208313,0.955078125,0.13480260968208313,127,,,
,2047,,,,127,0.195062518119812,0.9261538982391357,0.195062518119812
0.0007418604761148456,2048,,,,,,,
,2063,0.15437988936901093,0.94287109375,0.15437988936901093,128,,,
,2063,,,,128,0.1115017831325531,0.9692308306694031,0.1115017831325531
0.0007336353795992744,2064,,,,,,,
,2079,0.12507951259613037,0.95703125,0.12507951259613037,129,,,
,2079,,,,129,0.10986503958702087,0.9507691860198975,0.10986503958702087
0.000725328586590021,2080,,,,,,,
,2095,0.12168188393115997,0.95458984375,0.12168188393115997,130,,,
,2095,,,,130,0.07678576558828354,0.9784616231918335,0.07678576558828354
0.0007169430017913008,2096,,,,,,,
,2111,0.1281309425830841,0.95654296875,0.1281309425830841,131,,,
,2111,,,,131,0.17988339066505432,0.9569230675697327,0.17988339066505432
0.0007084815574590985,2112,,,,,,,
,2127,0.11683771759271622,0.95751953125,0.11683771759271622,132,,,
,2127,,,,132,0.1669478416442871,0.9476922750473022,0.1669478416442871
0.0006999472123758217,2128,,,,,,,
,2143,0.11647649109363556,0.958984375,0.11647649109363556,133,,,
,2143,,,,133,0.10613402724266052,0.9692308306694031,0.10613402724266052
0.0006913429508156802,2144,,,,,,,
,2159,0.09857292473316193,0.96240234375,0.09857292473316193,134,,,
,2159,,,,134,0.057397712022066116,0.9846153855323792,0.057397712022066116
0.0006826717815011488,2160,,,,,,,
,2175,0.10788293182849884,0.95703125,0.10788293182849884,135,,,
,2175,,,,135,0.07829096168279648,0.9692308306694031,0.07829096168279648
0.0006739367365508843,2176,,,,,,,
,2191,0.09361709654331207,0.96923828125,0.09361709654331207,136,,,
,2191,,,,136,0.116777703166008,0.9446153044700623,0.116777703166008
0.0006651408704194596,2192,,,,,,,
,2207,0.12286706268787384,0.95556640625,0.12286706268787384,137,,,
,2207,,,,137,0.09232618659734726,0.9723077416419983,0.09232618659734726
0.0006562872588292863,2208,,,,,,,
,2223,0.1238003522157669,0.94970703125,0.1238003522157669,138,,,
,2223,,,,138,0.07101425528526306,0.9784614443778992,0.07101425528526306
0.0006473789976951033,2224,,,,,,,
,2239,0.1088404506444931,0.95947265625,0.1088404506444931,139,,,
,2239,,,,139,0.1511920988559723,0.9569230675697327,0.1511920988559723
0.0006384192020414017,2240,,,,,,,
,2255,0.1281089335680008,0.95703125,0.1281089335680008,140,,,
,2255,,,,140,0.1710684597492218,0.9446154236793518,0.1710684597492218
0.0006294110049131701,2256,,,,,,,
,2271,0.1105332151055336,0.95703125,0.1105332151055336,141,,,
,2271,,,,141,0.10616454482078552,0.9630769491195679,0.10616454482078552
0.0006203575562803357,2272,,,,,,,
,2287,0.1007077693939209,0.96630859375,0.1007077693939209,142,,,
,2287,,,,142,0.09438176453113556,0.9692308306694031,0.09438176453113556
0.0006112620219362892,2288,,,,,,,
,2303,0.10382799804210663,0.96142578125,0.10382799804210663,143,,,
,2303,,,,143,0.10854186862707138,0.9723076820373535,0.10854186862707138
0.0006021275823908766,2304,,,,,,,
,2319,0.11238262802362442,0.962890625,0.11238262802362442,144,,,
,2319,,,,144,0.11344826966524124,0.9599999785423279,0.11344826966524124
0.000592957431758243,2320,,,,,,,
